name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pvac,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,nsam
adults,pvac--all-low,admin,0.08752836880775108,0.031831753496856734,53062.572,0.05,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pvac--children-high,admin,0.08956218754399123,0.03433911919464868,53046.3,0.05,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pvac--elderly-high,admin,0.08911904117863328,0.032562468511678364,53047.236,0.05,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pflu--all-low,admin,0.23995918201175845,0.02706120697666801,52496.058,0.25,0.05,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pflu--children-high,admin,0.24082490432761727,0.027655975162582485,52479.252,0.25,0.05,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pflu--elderly-high,admin,0.23913925021466909,0.029202881614811285,52480.964,0.25,0.05,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,ve--all-low,admin,0.05188466577221367,0.027649862627221872,53062.604,0.25,0.08,0.1,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,ve--children-high,admin,0.052611080853854006,0.03026311351584739,53046.632,0.25,0.08,0.1,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,ve--elderly-high,admin,0.05191692632834514,0.028726925843368955,53047.806,0.25,0.08,0.1,0.15,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pnonflu--all-low,admin,0.26356188254189633,0.023684936756633263,52103.062,0.25,0.08,0.5,0.1,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pnonflu--children-high,admin,0.2666891043840868,0.023622508459604206,52085.576,0.25,0.08,0.5,0.1,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,pnonflu--elderly-high,admin,0.26576750505531993,0.023696503127727673,52087.802,0.25,0.08,0.5,0.1,0.84,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,sympt--all-low,admin,0.25819950831682614,0.02620173996591485,49724.848,0.25,0.08,0.5,0.15,0.1,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,sympt--children-high,admin,0.2588178458383644,0.026516856339154626,49709.738,0.25,0.08,0.5,0.15,0.1,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,sympt--elderly-high,admin,0.2587053326115217,0.026440959260188517,49706.962,0.25,0.08,0.5,0.15,0.1,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,sympt--all-med,admin,0.2642872686478074,0.026318905342197333,51432.9,0.25,0.08,0.5,0.15,0.5,0.3,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,clin--all-low,admin,0.2599126194264368,0.025703126959561003,50505.31,0.25,0.08,0.5,0.15,0.84,0.1,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,clin--children-high,admin,0.261078781549491,0.026149219771392427,50488.858,0.25,0.08,0.5,0.15,0.84,0.1,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,clin--elderly-high,admin,0.260284824322536,0.025457831106229935,50488.95,0.25,0.08,0.5,0.15,0.84,0.1,0.35,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,test_clin--all-low,admin,0.25322266791454817,0.026071790475810052,48377.534,0.25,0.08,0.5,0.15,0.84,0.3,0.1,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,test_clin--children-high,admin,0.2538195814114335,0.02990938578405391,48363.97,0.25,0.08,0.5,0.15,0.84,0.3,0.1,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,test_clin--elderly-high,admin,0.2537652279120768,0.02731190931389169,48361.274,0.25,0.08,0.5,0.15,0.84,0.3,0.1,0.15,0.95,0.8,0.86,0.984,0.657,328500
adults,test_nonclin--all-low,admin,0.2731426747786787,0.03999881092371324,6375.886,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0,0.95,0.8,0.86,0.984,0.657,328500
adults,test_nonclin--children-high,admin,0.27230119836992794,0.042847745644107565,6370.22,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0,0.95,0.8,0.86,0.984,0.657,328500
adults,test_nonclin--elderly-high,admin,0.27325201626734463,0.042731461364367465,6375.486,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0,0.95,0.8,0.86,0.984,0.657,328500
adults,sens_vac--all-low,admin,0.2514724306649894,0.023287337788240405,52929.778,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.9,0.8,0.86,0.984,0.657,328500
adults,sens_vac--children-high,admin,0.25343476903467865,0.024101092113292963,52913.652,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.9,0.8,0.86,0.984,0.657,328500
adults,sens_vac--elderly-high,admin,0.25251951129472827,0.02457895899833212,52915.278,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.9,0.8,0.86,0.984,0.657,328500
adults,spec_vac--all-low,admin,0.15881645703092934,0.02504435995946857,52929.778,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.5,0.86,0.984,0.657,328500
adults,spec_vac--children-high,admin,0.1613715725295671,0.025311102743734694,52913.652,0.25,0.08,0.5,0.15,0.84,0.3,0.35,0.15,0.95,0.5,0.86,0.984,0.657,328500
