name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,nsam
adults,pflu,admin,0.2549710838313983,0.019935952392468016,91246.694,0.05,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.26385728911624196,0.017366656942372122,91990.294,0.060000000000000005,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.27077990970510546,0.016324843331471384,92731.514,0.07,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.05560007101703848,0.01813707411707243,94150.948,0.08,0.1,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.11147443130594062,0.01762836703481982,94004.822,0.08,0.2,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.16580891799743866,0.01852211130436924,93819.364,0.08,0.30000000000000004,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.22116170755629871,0.016425617245186718,93627.916,0.08,0.4,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2765975313543929,0.014898817155466823,89283.046,0.08,0.5,0.1,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.27638649487644046,0.015813458734412273,90956.082,0.08,0.5,0.12000000000000001,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.27730042566732327,0.015209324005500416,92666.176,0.08,0.5,0.14,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2612796661904656,0.020949968500108794,77217.226,0.08,0.5,0.15,0.1,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.26516418081175075,0.01874366982251201,79401.192,0.08,0.5,0.15,0.2,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2668715945424863,0.019079590014325184,81574.504,0.08,0.5,0.15,0.30000000000000004,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2699533813999054,0.01776130695861763,83798.348,0.08,0.5,0.15,0.4,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2717260477309884,0.017266146254517993,85995.704,0.08,0.5,0.15,0.5,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.27222821201366804,0.016727350708938157,88206.934,0.08,0.5,0.15,0.6,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2736425643761974,0.015896890442397477,90400.452,0.08,0.5,0.15,0.7000000000000001,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2753580141811572,0.015232818646552645,92597.844,0.08,0.5,0.15,0.8,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.2608407076770171,0.019827005339890513,76855.028,0.08,0.5,0.15,0.84,0.1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.2641168849025175,0.020045965561029378,78672.864,0.08,0.5,0.15,0.84,0.2,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.26596064479241255,0.018513276644301933,80544.194,0.08,0.5,0.15,0.84,0.30000000000000004,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.26900087856951793,0.01901517172344181,82382.088,0.08,0.5,0.15,0.84,0.4,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.26987904265837825,0.016712512360620355,84244.27,0.08,0.5,0.15,0.84,0.5,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.2713282127318755,0.01678130574302295,86085.808,0.08,0.5,0.15,0.84,0.6,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,admin,0.27229299839482674,0.017385550011366442,87932.462,0.08,0.5,0.15,0.84,0.7000000000000001,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
